Product Name,Price,Rating,Seller Name
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Yellow),"1,398",3.9 out of 5 stars,1K+ bought in past month
"Kratos Legend Pro Power Bank with USB C/B Input, Dual USB A Output, Slim Power Bank 10000mah Compatible for iPhone (Type A to Lightning), Samsung, Xiaomi, Oppo, Vivo, Remdi (use Type A to C/B Cable)",449,3.7 out of 5 stars,700+ bought in past month
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)",789,3.9 out of 5 stars,1K+ bought in past month
"Spigen 30,000 mAh, 22.5W Fast Charging Power Bank with 20W for 2 USB C Ports, 22.5W for 1 USB-A Port 20W, Included USB-C to USB-C Cable - Black","2,579",4.4 out of 5 stars,200+ bought in past month
"Portronics Luxcell B 20K Advanced 20000 mAh Power Bank with 22.5W Max Output, LED Battery Display, 22.5w Mach USB-A Output, 20w Type C PD Output, Type C Input, Wake Up Button(Black)","1,218",3.9 out of 5 stars,1K+ bought in past month
"Ambrane 20000mAh Rugged Compact Powerbank, Slim & Lightweight with 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 20k, Dark Green)","1,799",4.0 out of 5 stars,500+ bought in past month
"Ambrane 20000 mAh Mini Power Bank with 22.5W Fast Charging, Pocket Size, Triple Output, Type C PD (Input & Output), Li-Polymer, Made in India + Type C Cable (Powerlit XL Lite, Yellow)","1,299",3.9 out of 5 stars,600+ bought in past month
"Anker 322 Magnetic Wireless Power Bank (MagGo), 5,000 mAh, with 12W USB C Output, with Mobile Stand, Compatible with iPhone15/15+/15 pro/15 pro max/ 14/13/12 & Android Series - Black",999,3.4 out of 5 stars,700+ bought in past month
"Kratos Legend Plus Power Bank 20000mah with Dual USB Output, 12W Fast Charging Power Bank with Slim Design and Compact Size, Type C and Micro USB Inputs, Made in India, BIS Certified",899,4.8 out of 5 stars,1K+ bought in past month
"ZEBRONICS MB10000S4 Power Bank, 10000 mAh, 12W, Dual USB Output, Type C & Micro USB Input, Built in Protections, Percentage LED Display, Included USB to Type C Cable, Made in India",518,3.6 out of 5 stars,1K+ bought in past month
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",999,3.9 out of 5 stars,1K+ bought in past month
Kratos Legend Prime Mini Wireless Powerbank 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),"1,599",4.8 out of 5 stars,600+ bought in past month
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Black)","1,899",4.6 out of 5 stars,1K+ bought in past month
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","1,099",3.8 out of 5 stars,700+ bought in past month
"Ambrane 10000mAh Magsafe Fast Wireless Charging Power Bank, Strong Metal Mobile Stand, 22.5W Wired + 15W Wireless for iPhone 12 & Above, Android & Qi Enabled Devices (Aerosync PB 11, Purple)","1,998",4.0 out of 5 stars,800+ bought in past month
"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)","1,399",3.8 out of 5 stars,1K+ bought in past month
